PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11,HID
365,E02000001,1,17,4,3909
366,E02000001,1,17,4,3087
367,E02000001,1,17,4,4372
368,E02000001,1,17,4,1721
369,E02000001,1,17,6,1560
370,E02000001,1,17,6,3923
371,E02000001,1,17,6,1851
372,E02000001,1,18,2,454
373,E02000001,1,18,2,3265
374,E02000001,1,18,2,2374
375,E02000001,1,18,2,2345
376,E02000001,1,18,2,2231
377,E02000001,1,18,2,4383
378,E02000001,1,18,2,4979
379,E02000001,1,18,2,1939
380,E02000001,1,18,2,3862
381,E02000001,1,18,2,4974
382,E02000001,1,18,4,1857
383,E02000001,1,18,4,2272
384,E02000001,1,18,5,22
385,E02000001,1,18,6,1347
386,E02000001,1,18,6,5436
387,E02000001,1,18,6,3247
388,E02000001,1,18,7,3770
389,E02000001,1,18,8,4444
390,E02000001,1,19,2,2913
391,E02000001,1,19,2,5193
392,E02000001,1,19,2,5297
393,E02000001,1,19,2,1011
394,E02000001,1,19,2,5156
395,E02000001,1,19,2,3455
396,E02000001,1,19,2,3101
397,E02000001,1,19,2,4198
398,E02000001,1,19,2,4415
399,E02000001,1,19,2,1021
400,E02000001,1,19,2,226
401,E02000001,1,19,2,3244
402,E02000001,1,19,2,1024
403,E02000001,1,19,2,656
404,E02000001,1,19,3,2972
405,E02000001,1,19,4,4064
406,E02000001,1,19,4,2131
407,E02000001,1,19,4,2220
408,E02000001,1,19,4,4379
409,E02000001,1,19,4,218
410,E02000001,1,19,6,692
411,E02000001,1,19,7,2147
412,E02000001,1,19,8,1947
413,E02000001,1,21,2,3951
414,E02000001,1,21,2,1655
415,E02000001,1,21,2,2220
416,E02000001,1,21,2,218
417,E02000001,1,21,2,2272
418,E02000001,1,21,2,1851
419,E02000001,1,21,2,4093
420,E02000001,1,21,2,1168
421,E02000001,1,21,2,2954
422,E02000001,1,21,4,540
423,E02000001,1,21,4,4976
424,E02000001,1,21,5,869
425,E02000001,1,21,6,3171
426,E02000001,1,22,2,4127
427,E02000001,1,22,2,3953
428,E02000001,1,22,2,778
429,E02000001,1,22,2,5459
430,E02000001,1,22,4,2197
431,E02000001,1,22,6,4617
432,E02000001,1,25,2,5501
433,E02000001,1,25,2,1962
434,E02000001,1,25,2,3416
435,E02000001,1,25,2,5232
436,E02000001,1,25,2,3937
437,E02000001,1,25,2,483
438,E02000001,1,25,2,4880
439,E02000001,1,25,2,2496
440,E02000001,1,25,2,2327
441,E02000001,1,25,2,3750
442,E02000001,1,25,2,3100
443,E02000001,1,25,4,1957
444,E02000001,1,25,4,2629
445,E02000001,1,25,4,1612
446,E02000001,1,25,4,3222
447,E02000001,1,25,5,4384
448,E02000001,1,25,6,241
449,E02000001,1,26,2,2892
450,E02000001,1,26,2,1037
451,E02000001,1,26,2,1916
452,E02000001,1,26,2,4422
453,E02000001,1,26,2,5455
454,E02000001,1,26,2,2329
455,E02000001,1,26,2,960
456,E02000001,1,26,2,1888
457,E02000001,1,26,2,954
458,E02000001,1,26,2,3107
459,E02000001,1,26,2,2326
460,E02000001,1,26,2,1603
461,E02000001,1,26,2,4582
462,E02000001,1,26,3,3493
463,E02000001,1,26,4,587
464,E02000001,1,26,4,4439
465,E02000001,1,26,4,3934
466,E02000001,1,26,4,560
467,E02000001,1,26,4,1125
468,E02000001,1,27,2,2870
469,E02000001,1,27,2,342
470,E02000001,1,27,2,3237
471,E02000001,1,27,2,2097
472,E02000001,1,27,2,3639
473,E02000001,1,27,2,21
474,E02000001,1,27,2,4098
475,E02000001,1,27,2,4693
476,E02000001,1,27,2,4064
477,E02000001,1,27,2,793
478,E02000001,1,27,2,2001
479,E02000001,1,27,2,1992
480,E02000001,1,27,2,4455
481,E02000001,1,27,2,2691
482,E02000001,1,27,2,5436
483,E02000001,1,27,3,793
484,E02000001,1,27,4,3824
485,E02000001,1,27,4,2168
486,E02000001,1,27,4,2001
487,E02000001,1,27,4,2074
488,E02000001,1,27,5,5274
489,E02000001,1,27,6,1019
490,E02000001,1,27,6,4848
491,E02000001,1,27,6,691
492,E02000001,1,27,6,4182
493,E02000001,1,28,2,596
494,E02000001,1,28,2,664
495,E02000001,1,28,2,2583
496,E02000001,1,28,2,819
497,E02000001,1,28,2,2545
498,E02000001,1,28,2,2685
499,E02000001,1,28,2,1685
500,E02000001,1,28,2,2865
501,E02000001,1,28,2,1027
502,E02000001,1,28,2,39
503,E02000001,1,28,2,3664
504,E02000001,1,28,2,783
505,E02000001,1,28,2,940
506,E02000001,1,28,2,1135
507,E02000001,1,28,2,4379
508,E02000001,1,28,2,789
509,E02000001,1,28,2,889
510,E02000001,1,28,2,3909
511,E02000001,1,28,2,3087
512,E02000001,1,28,2,5201
513,E02000001,1,28,2,949
514,E02000001,1,28,2,4374
515,E02000001,1,28,2,26
516,E02000001,1,28,2,5437
517,E02000001,1,28,2,2092
518,E02000001,1,28,2,94
519,E02000001,1,28,2,3816
520,E02000001,1,28,2,4083
521,E02000001,1,28,2,4427
522,E02000001,1,28,2,2868
523,E02000001,1,28,2,4620
524,E02000001,1,28,2,1405
525,E02000001,1,28,2,1643
526,E02000001,1,28,2,3662
527,E02000001,1,28,3,2677
528,E02000001,1,28,4,2341
529,E02000001,1,28,4,33
530,E02000001,1,28,4,5441
531,E02000001,1,28,4,1890
532,E02000001,1,28,4,1135
533,E02000001,1,28,4,5223
534,E02000001,1,28,4,2611
535,E02000001,1,28,4,4451
536,E02000001,1,28,4,3405
537,E02000001,1,28,4,2698
538,E02000001,1,28,4,4024
539,E02000001,1,28,4,4455
540,E02000001,1,28,5,4684
541,E02000001,1,28,6,2293
542,E02000001,1,28,6,3883
543,E02000001,1,28,6,2960
544,E02000001,1,28,6,1339
545,E02000001,1,28,6,789
546,E02000001,1,28,7,1859
547,E02000001,1,28,7,1913
548,E02000001,1,28,7,1845
549,E02000001,1,28,8,256
550,E02000001,1,29,2,2305
551,E02000001,1,29,2,5246
552,E02000001,1,29,2,1502
553,E02000001,1,29,2,2610
554,E02000001,1,29,2,1359
555,E02000001,1,29,2,3405
556,E02000001,1,29,2,2079
557,E02000001,1,29,2,3958
558,E02000001,1,29,2,22
559,E02000001,1,29,2,1721
560,E02000001,1,29,2,2148
561,E02000001,1,29,2,3976
562,E02000001,1,29,2,4962
563,E02000001,1,29,2,4343
564,E02000001,1,29,2,3817
565,E02000001,1,29,2,3781
566,E02000001,1,29,2,3677
567,E02000001,1,29,2,4035
568,E02000001,1,29,2,5271
569,E02000001,1,29,2,2217
570,E02000001,1,29,2,4461
571,E02000001,1,29,2,3680
572,E02000001,1,29,2,3276
573,E02000001,1,29,2,1858
574,E02000001,1,29,2,3861
575,E02000001,1,29,2,4939
576,E02000001,1,29,2,4674
577,E02000001,1,29,2,3859
578,E02000001,1,29,2,5531
579,E02000001,1,29,2,3854
580,E02000001,1,29,2,2703
581,E02000001,1,29,2,4603
582,E02000001,1,29,2,3853
583,E02000001,1,29,2,4002
584,E02000001,1,29,2,1404
585,E02000001,1,29,3,2195
586,E02000001,1,29,4,3892
587,E02000001,1,29,4,3907
588,E02000001,1,29,4,794
589,E02000001,1,29,4,4969
590,E02000001,1,29,4,424
591,E02000001,1,29,4,698
592,E02000001,1,29,4,1749
593,E02000001,1,29,4,3242
594,E02000001,1,29,4,3958
595,E02000001,1,29,4,3656
596,E02000001,1,29,4,4580
597,E02000001,1,29,5,2350
598,E02000001,1,29,5,4789
599,E02000001,1,29,6,4231
600,E02000001,1,29,6,135
601,E02000001,1,29,6,2691
602,E02000001,1,29,6,1945
603,E02000001,1,29,8,1092
604,E02000001,1,30,2,144
605,E02000001,1,30,2,809
606,E02000001,1,30,2,402
607,E02000001,1,30,2,4920
608,E02000001,1,30,2,4449
609,E02000001,1,30,2,2532
610,E02000001,1,30,2,2325
611,E02000001,1,30,2,4593
612,E02000001,1,30,2,724
613,E02000001,1,30,2,385
614,E02000001,1,30,2,2657
615,E02000001,1,30,2,3764
616,E02000001,1,30,2,5398
617,E02000001,1,30,2,4023
618,E02000001,1,30,2,777
619,E02000001,1,30,2,255
620,E02000001,1,30,2,720
621,E02000001,1,30,2,3483
622,E02000001,1,30,2,2253
623,E02000001,1,30,2,1702
624,E02000001,1,30,2,1510
625,E02000001,1,30,2,660
626,E02000001,1,30,2,4192
627,E02000001,1,30,2,2205
628,E02000001,1,30,2,1052
629,E02000001,1,30,2,357
630,E02000001,1,30,2,2209
631,E02000001,1,30,2,3589
632,E02000001,1,30,2,4074
633,E02000001,1,30,2,5203
634,E02000001,1,30,2,1993
635,E02000001,1,30,2,4004
636,E02000001,1,30,2,4350
637,E02000001,1,30,2,1373
638,E02000001,1,30,2,3821
639,E02000001,1,30,2,4005
640,E02000001,1,30,2,3751
641,E02000001,1,30,3,2702
642,E02000001,1,30,4,1605
643,E02000001,1,30,4,3787
644,E02000001,1,30,4,5314
645,E02000001,1,30,4,1978
646,E02000001,1,30,4,1944
647,E02000001,1,30,4,805
648,E02000001,1,30,4,4790
649,E02000001,1,30,4,2515
650,E02000001,1,30,4,1971
651,E02000001,1,30,4,2125
652,E02000001,1,30,4,5181
653,E02000001,1,30,4,2373
654,E02000001,1,30,5,615
655,E02000001,1,30,6,2056
656,E02000001,1,30,6,2951
657,E02000001,1,30,6,4131
658,E02000001,1,30,6,2088
659,E02000001,1,30,6,138
660,E02000001,1,30,6,5314
661,E02000001,1,30,6,889
662,E02000001,1,30,7,3599
663,E02000001,1,30,7,1636
664,E02000001,1,30,7,4446
665,E02000001,1,30,8,1699
666,E02000001,1,31,2,1036
667,E02000001,1,31,2,4204
668,E02000001,1,31,2,1085
669,E02000001,1,31,2,807
670,E02000001,1,31,2,4915
671,E02000001,1,31,2,1104
672,E02000001,1,31,2,744
673,E02000001,1,31,2,3679
674,E02000001,1,31,2,177
675,E02000001,1,31,2,4131
676,E02000001,1,31,2,1921
677,E02000001,1,31,2,1225
678,E02000001,1,31,2,4372
679,E02000001,1,31,2,2607
680,E02000001,1,31,2,3811
681,E02000001,1,31,2,600
682,E02000001,1,31,2,5379
683,E02000001,1,31,2,4011
684,E02000001,1,31,2,5301
685,E02000001,1,31,2,3484
686,E02000001,1,31,2,282
687,E02000001,1,31,2,5327
688,E02000001,1,31,2,2080
689,E02000001,1,31,2,356
690,E02000001,1,31,2,71
691,E02000001,1,31,2,5536
692,E02000001,1,31,2,2525
693,E02000001,1,31,2,4809
694,E02000001,1,31,2,368
695,E02000001,1,31,2,4935
696,E02000001,1,31,2,3919
697,E02000001,1,31,2,1366
698,E02000001,1,31,2,394
699,E02000001,1,31,2,314
700,E02000001,1,31,2,556
701,E02000001,1,31,2,2368
702,E02000001,1,31,2,1374
703,E02000001,1,31,2,36
704,E02000001,1,31,2,1402
705,E02000001,1,31,2,5523
706,E02000001,1,31,2,4771
707,E02000001,1,31,2,1652
708,E02000001,1,31,2,3211
709,E02000001,1,31,2,4831
710,E02000001,1,31,2,1159
711,E02000001,1,31,2,2337
712,E02000001,1,31,2,4671
713,E02000001,1,31,2,4772
714,E02000001,1,31,2,1362
715,E02000001,1,31,2,2365
716,E02000001,1,31,2,422
717,E02000001,1,31,2,5311
718,E02000001,1,31,2,2224
719,E02000001,1,31,2,1651
720,E02000001,1,31,2,3825
721,E02000001,1,31,2,1290
722,E02000001,1,31,2,1313
723,E02000001,1,31,2,1465
724,E02000001,1,31,2,3081
725,E02000001,1,31,2,961
726,E02000001,1,31,2,2179
727,E02000001,1,31,3,5298
728,E02000001,1,31,3,90
729,E02000001,1,31,3,4337
730,E02000001,1,31,3,167
731,E02000001,1,31,4,5462
732,E02000001,1,31,4,1661
733,E02000001,1,31,4,1360
734,E02000001,1,31,4,5315
735,E02000001,1,31,4,5270
736,E02000001,1,31,4,1992
737,E02000001,1,31,4,772
738,E02000001,1,31,4,1923
739,E02000001,1,31,4,160
740,E02000001,1,31,4,4966
741,E02000001,1,31,4,2859
742,E02000001,1,31,4,4701
743,E02000001,1,31,4,1921
744,E02000001,1,31,4,1507
745,E02000001,1,31,4,59
746,E02000001,1,31,4,5304
747,E02000001,1,31,4,3673
748,E02000001,1,31,4,1285
749,E02000001,1,31,5,2200
750,E02000001,1,31,5,497
751,E02000001,1,31,5,1788
752,E02000001,1,31,6,2348
753,E02000001,1,31,6,1244
754,E02000001,1,31,6,2903
755,E02000001,1,31,6,5219
756,E02000001,1,31,6,5264
757,E02000001,1,31,6,1875
758,E02000001,1,31,6,1128
759,E02000001,1,31,6,2889
760,E02000001,1,31,6,1225
761,E02000001,1,31,6,2341
762,E02000001,1,31,6,2983
763,E02000001,1,31,7,2112
764,E02000001,1,31,7,1688
765,E02000001,1,31,7,2292
766,E02000001,1,31,7,200
767,E02000001,1,31,8,3791
768,E02000001,1,31,8,1755
769,E02000001,1,32,2,3498
770,E02000001,1,32,2,607
771,E02000001,1,32,2,608
772,E02000001,1,32,2,673
773,E02000001,1,32,2,3427
774,E02000001,1,32,2,2598
775,E02000001,1,32,2,971
776,E02000001,1,32,2,520
777,E02000001,1,32,2,2379
778,E02000001,1,32,2,4364
779,E02000001,1,32,2,1639
780,E02000001,1,32,2,3397
781,E02000001,1,32,2,1157
782,E02000001,1,32,2,1216
783,E02000001,1,32,2,4451
784,E02000001,1,32,2,2076
785,E02000001,1,32,2,1945
786,E02000001,1,32,2,4145
787,E02000001,1,32,2,3447
788,E02000001,1,32,2,859
789,E02000001,1,32,2,3823
790,E02000001,1,32,2,1967
791,E02000001,1,32,2,3578
792,E02000001,1,32,2,4452
793,E02000001,1,32,2,2385
794,E02000001,1,32,2,73
795,E02000001,1,32,2,1133
796,E02000001,1,32,2,25
797,E02000001,1,32,2,1355
798,E02000001,1,32,2,2924
799,E02000001,1,32,2,5171
800,E02000001,1,32,2,1316
801,E02000001,1,32,2,4375
802,E02000001,1,32,2,1099
803,E02000001,1,32,2,3144
804,E02000001,1,32,2,2124
805,E02000001,1,32,2,1323
806,E02000001,1,32,2,225
807,E02000001,1,32,2,1326
808,E02000001,1,32,2,1617
809,E02000001,1,32,2,301
810,E02000001,1,32,2,1351
811,E02000001,1,32,2,1756
812,E02000001,1,32,2,2183
813,E02000001,1,32,2,63
814,E02000001,1,32,2,753
815,E02000001,1,32,2,1924
816,E02000001,1,32,2,1708
817,E02000001,1,32,2,4583
818,E02000001,1,32,2,116
819,E02000001,1,32,2,2167
820,E02000001,1,32,3,682
821,E02000001,1,32,3,3741
822,E02000001,1,32,4,3943
823,E02000001,1,32,4,1007
824,E02000001,1,32,4,1450
825,E02000001,1,32,4,4580
826,E02000001,1,32,4,4657
827,E02000001,1,32,4,2693
828,E02000001,1,32,4,4869
829,E02000001,1,32,4,767
830,E02000001,1,32,4,177
831,E02000001,1,32,4,2254
832,E02000001,1,32,4,4063
833,E02000001,1,32,4,5261
834,E02000001,1,32,4,5332
835,E02000001,1,32,4,1490
836,E02000001,1,32,5,1476
837,E02000001,1,32,5,2176
838,E02000001,1,32,5,367
839,E02000001,1,32,5,4703
840,E02000001,1,32,6,1883
841,E02000001,1,32,6,4342
842,E02000001,1,32,6,2287
843,E02000001,1,32,6,370
844,E02000001,1,32,6,165
845,E02000001,1,32,6,77
846,E02000001,1,32,6,2969
847,E02000001,1,32,6,345
848,E02000001,1,32,6,4080
849,E02000001,1,32,7,3986
850,E02000001,1,32,7,2377
851,E02000001,1,32,8,2846
852,E02000001,1,32,8,858
853,E02000001,1,33,2,1320
854,E02000001,1,33,2,323
855,E02000001,1,33,2,2190
856,E02000001,1,33,2,3630
857,E02000001,1,33,2,4956
858,E02000001,1,33,2,4551
859,E02000001,1,33,2,3099
860,E02000001,1,33,2,3394
861,E02000001,1,33,2,1093
862,E02000001,1,33,2,4459
863,E02000001,1,33,2,3069
864,E02000001,1,33,2,609
865,E02000001,1,33,2,327
866,E02000001,1,33,2,5223
867,E02000001,1,33,2,1336
868,E02000001,1,33,2,5332
869,E02000001,1,33,2,1476
870,E02000001,1,33,2,2969
871,E02000001,1,33,2,4655
872,E02000001,1,33,2,1602
873,E02000001,1,33,2,752
874,E02000001,1,33,2,5260
875,E02000001,1,33,2,4980
876,E02000001,1,33,2,1703
877,E02000001,1,33,2,1311
878,E02000001,1,33,2,211
