HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO
3345,E00000027,-2,-2,-1,-1,-2,0,6,1,-1,2,-1,-1,1
171,E00000003,5,-2,2,2,-2,3,6,3,-1,2,1,2,2
2499,E00000025,5,-2,2,1,-2,1,2,1,-1,2,9,3,3
4721,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
1848,E00000021,5,-2,2,1,-2,1,3,2,-1,2,2,2,2
3185,E00000027,5,-2,6,1,-2,1,2,1,-1,2,1,4,1
2622,E00000025,3,-2,6,1,-2,1,4,1,-1,2,1,5,1
3879,E00000031,5,-2,3,1,-2,1,4,2,-1,2,1,4,1
260,E00000005,5,-2,2,1,-2,1,3,1,-1,2,3,2,1
5319,E00166758,5,-2,6,1,-2,1,4,1,-1,2,2,4,1
4553,E00166756,5,-2,2,1,-2,1,1,1,-1,2,2,2,1
155,E00000003,5,-2,2,2,-2,2,6,3,-1,2,2,2,2
786,E00000012,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
4634,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,4,1
1657,E00000019,5,-2,6,3,-2,2,4,2,-1,2,1,2,1
4864,E00166757,5,-2,6,1,-2,1,2,1,-1,2,1,6,1
4044,E00000032,5,-2,5,2,-2,4,4,3,-1,2,6,6,2
1559,E00000018,5,-2,6,1,-2,1,6,4,-1,2,1,4,1
1318,E00000017,5,-2,3,3,-2,2,1,1,-1,2,1,2,2
4096,E00000035,5,-2,2,1,-2,1,3,1,-1,2,1,6,1
1248,E00000016,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3740,E00000030,5,-2,2,1,-2,1,2,1,-1,2,6,2,1
5390,E00166759,5,-2,2,1,-2,1,2,1,-1,2,1,4,2
3962,E00000032,5,-2,5,1,-2,1,2,1,-1,2,5,2,1
3996,E00000032,5,-2,5,1,-2,1,3,2,-1,2,5,7,1
2266,E00000024,5,-2,3,1,-2,1,2,1,-1,2,2,2,1
89,E00000001,5,-2,6,3,-2,2,5,3,-1,2,4,2,3
4626,E00166756,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
1443,E00000018,4,-2,2,1,-2,1,3,1,-1,2,4,2,1
2542,E00000025,5,-2,3,1,-2,1,4,2,-1,2,4,2,1
737,E00000012,5,-2,5,1,-2,1,3,1,-1,2,4,2,2
228,E00000003,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
5234,E00166758,5,-2,3,1,-2,1,2,1,-1,2,4,4,1
1691,E00000020,5,-2,2,1,-2,1,3,1,-1,2,2,2,1
3334,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
5155,E00166758,5,-2,2,1,-2,1,3,1,-1,2,4,2,3
3924,E00000031,5,-2,5,3,-2,3,4,2,-1,2,8,2,1
5037,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4866,E00166757,5,-2,6,1,-2,1,2,1,-1,2,4,6,1
5042,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
179,E00000003,5,-2,3,2,-2,4,3,2,-1,2,2,2,2
4844,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,2,2
2925,E00000026,5,-2,6,5,-2,2,2,1,-1,1,2,6,1
5451,E00166759,5,-2,5,1,-2,1,3,1,-1,2,1,2,1
2803,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
1544,E00000018,5,-2,6,3,-2,2,3,1,-1,2,1,2,1
4939,E00166757,5,-2,6,5,-2,2,3,1,-1,2,6,4,1
3850,E00000030,5,-2,6,1,-2,1,4,2,-1,2,2,4,1
3148,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,2,1
2516,E00000025,5,-2,2,2,-2,2,4,2,-1,1,9,2,1
1165,E00000016,5,-2,3,1,-2,1,4,1,-1,2,2,2,2
2853,E00000026,5,-2,3,1,-2,1,2,1,-1,2,1,2,2
639,E00000010,5,-2,5,1,-2,1,3,1,-1,2,2,4,1
2305,E00000024,5,-2,6,1,-2,1,2,1,-1,2,2,4,1
1320,E00000017,5,-2,3,1,-2,1,2,1,-1,2,2,2,2
403,E00000005,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
4674,E00166756,5,-2,6,5,-2,2,2,1,-1,2,2,6,1
1396,E00000017,5,-2,6,5,-2,2,6,2,-1,2,1,4,1
874,E00000013,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
3093,E00000027,5,-2,3,1,-2,1,1,1,-1,2,1,2,1
2632,E00000025,5,-2,6,1,-2,1,4,2,-1,1,5,2,3
4986,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
1221,E00000016,5,-2,6,3,-2,2,2,1,-1,2,2,2,2
1719,E00000020,5,-2,2,2,-2,2,4,1,-1,2,1,2,1
3370,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
3194,E00000027,5,-2,6,1,-2,1,2,1,-1,2,9,4,1
939,E00000014,5,-2,2,2,-2,2,2,1,-1,2,2,2,1
2578,E00000025,5,-2,6,1,-2,1,2,1,-1,2,1,2,2
701,E00000012,5,-2,5,1,-2,1,1,1,-1,2,4,2,1
451,E00000005,5,-2,6,5,-2,2,5,1,-1,2,2,2,1
5090,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
1563,E00000018,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
3719,E00000029,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
1737,E00000020,5,-2,3,1,-2,1,3,2,-1,2,1,2,2
3465,E00000028,5,-2,6,1,-2,1,3,1,-1,2,1,2,1
2197,E00000023,5,-2,5,1,-2,1,4,1,-1,2,3,2,1
1177,E00000016,5,-2,3,3,-2,2,4,2,-1,2,2,2,1
1194,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,2,1
2604,E00000025,5,-2,6,1,-2,1,3,2,-1,2,1,6,3
3859,E00000030,5,-2,6,5,-2,3,5,3,-1,2,1,2,2
5287,E00166758,5,-2,6,2,-2,2,2,1,-1,2,2,2,1
2366,E00000024,5,-2,6,2,-2,2,4,3,-1,2,1,2,1
1570,E00000018,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
1416,E00000017,-2,-2,-1,-1,-2,0,5,4,-1,2,-1,-1,1
3947,E00000031,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
4332,E00166755,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
2823,E00000026,5,-2,2,1,-2,1,2,1,-1,2,1,2,2
4729,E00166756,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
4425,E00166755,5,-2,6,1,-2,1,4,3,-1,2,1,6,1
3064,E00000027,4,-2,2,1,-2,1,2,1,-1,2,1,6,1
3489,E00000028,5,-2,6,1,-2,1,4,1,-1,2,9,2,1
2170,E00000023,5,-2,3,2,-2,2,3,2,-1,2,2,2,2
596,E00000010,5,-2,3,1,-2,1,3,1,-1,2,2,2,2
3518,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
3933,E00000031,5,-2,6,3,-2,2,2,1,-1,2,9,8,1
871,E00000013,5,-2,6,1,-2,1,2,1,-1,1,2,4,1
3263,E00000027,5,-2,6,3,-2,2,4,1,-1,2,1,2,1
5431,E00166759,5,-2,3,1,-2,1,3,1,-1,2,1,4,3
2951,E00000026,5,-2,6,3,-2,2,3,2,-1,2,1,2,1
4438,E00166755,5,-2,6,3,-2,2,4,2,-1,2,2,6,1
5397,E00166759,5,-2,2,1,-2,1,3,1,-1,2,3,2,1
3307,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
901,E00000013,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
1550,E00000018,5,-2,6,1,-2,1,4,1,-1,2,1,2,1
1537,E00000018,5,-2,6,1,-2,1,3,1,-1,2,1,2,1
3332,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
4532,E00166755,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1
4265,E00000035,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
144,E00000003,5,-2,2,1,-2,1,6,3,-1,2,2,2,2
2737,E00000025,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
1842,E00000021,5,-2,2,1,-2,1,3,1,-1,2,2,2,2
5030,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1
913,E00000013,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
3741,E00000030,5,-2,2,2,-2,2,4,2,-1,2,2,2,1
1403,E00000017,5,-2,6,3,-2,4,6,4,-1,2,2,2,1
2054,E00000022,5,-2,2,1,-2,1,4,2,-1,2,1,4,2
3488,E00000028,5,-2,6,1,-2,1,4,1,-1,1,2,4,1
2375,E00000024,5,-2,6,3,-2,4,5,4,-1,2,2,2,1
3661,E00000029,5,-2,6,5,-2,2,3,2,-1,2,2,2,2
2405,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
2929,E00000026,5,-2,6,1,-2,1,3,1,-1,2,2,2,1
1393,E00000017,5,-2,6,1,-2,1,6,4,-1,2,2,2,1
3102,E00000027,5,-2,3,1,-2,1,2,1,-1,1,1,4,2
896,E00000013,5,-2,6,1,-2,1,4,1,-1,2,2,2,1
1449,E00000018,5,-2,2,1,-2,1,3,1,-1,2,2,2,1
5273,E00166758,5,-2,5,1,-2,1,2,1,-1,2,5,2,1
3720,E00000029,-2,-2,-1,-1,-2,0,5,1,-1,2,-1,-1,1
3285,E00000027,-2,27,-2,-1,8,-1,-1,-1,-1,2,-1,-1,1
5157,E00166758,5,-2,2,1,-2,1,3,1,-1,2,2,4,1
4345,E00166755,5,-2,3,2,-2,2,4,3,-1,2,1,2,2
3902,E00000031,5,-2,5,1,-2,1,3,2,-1,2,7,7,2
3450,E00000028,5,-2,6,3,-2,2,2,1,-1,2,3,2,1
1386,E00000017,5,-2,6,1,-2,1,4,1,-1,2,1,2,1
2526,E00000025,5,-2,3,1,-2,1,2,1,-1,1,2,4,1
3831,E00000030,5,-2,5,2,-2,4,5,3,-1,2,6,2,2
2559,E00000025,5,-2,6,1,-2,1,1,1,-1,1,2,2,1
643,E00000010,5,-2,5,1,-2,1,3,1,-1,2,8,8,1
2132,E00000022,5,-2,5,2,-2,4,4,3,-1,1,2,2,2
1419,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1
1745,E00000020,5,-2,3,2,-2,3,3,2,-1,2,2,2,1
5381,E00166759,5,-2,2,3,-2,2,1,1,-1,2,8,5,1
5473,E00166759,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
3660,E00000029,5,-2,6,4,-2,2,3,2,-1,2,1,4,1
5368,E00166759,5,-2,2,1,-2,1,1,1,-1,2,1,2,1
2194,E00000023,5,-2,5,4,-2,2,3,2,-1,2,7,2,2
411,E00000005,5,-2,6,1,-2,1,3,1,-1,2,1,4,1
3527,E00000028,-2,-2,-1,-1,-2,0,5,2,-1,1,-1,-1,1
2819,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1
3278,E00000027,5,-2,6,1,-2,1,6,1,-1,2,2,6,1
268,E00000005,5,-2,2,1,-2,1,3,1,-1,2,3,2,3
3932,E00000031,5,-2,6,1,-2,1,2,1,-1,2,9,8,2
1379,E00000017,5,-2,6,1,-2,1,1,1,-1,2,6,6,1
2519,E00000025,5,-2,2,1,-2,1,5,2,-1,2,2,2,1
3555,E00000028,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
5531,E00166759,5,-2,6,5,-2,3,4,2,-1,2,1,2,1
3848,E00000030,5,-2,6,1,-2,1,4,1,-1,2,2,4,1
1741,E00000020,5,-2,3,3,-2,2,3,1,-1,2,4,2,1
4720,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
3854,E00000030,5,-2,6,5,-2,3,4,3,-1,2,1,4,1
652,E00000010,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
3433,E00000028,5,-2,6,1,-2,1,2,1,-1,2,1,2,1
2229,E00000023,5,-2,6,1,-2,1,2,1,-1,2,2,4,1
4818,E00166757,5,-2,3,2,-2,2,4,2,-1,2,1,4,1
4195,E00000035,5,-2,6,2,-2,2,3,2,-1,2,9,2,1
441,E00000005,5,-2,6,1,-2,1,4,2,-1,2,1,2,1
3236,E00000027,5,-2,6,1,-2,1,3,2,-1,2,1,4,1
835,E00000013,5,-2,2,1,-2,1,4,2,-1,2,2,2,1
2409,E00000024,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
4912,E00166757,5,-2,6,1,-2,1,3,2,-1,1,2,6,1
659,E00000010,5,-2,6,2,-2,2,3,1,-1,2,2,3,1
2477,E00000024,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
5012,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1
5363,E00166758,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1
5470,E00166759,5,-2,6,1,-2,1,1,1,-1,2,2,2,1
3970,E00000032,5,-2,5,1,-2,1,2,1,-1,2,6,5,2
1008,E00000014,5,-2,5,3,-2,2,2,1,-1,2,1,2,1
4907,E00166757,5,-2,6,1,-2,1,3,1,-1,2,9,6,1
1243,E00000016,5,-2,6,2,-2,4,4,2,-1,2,1,2,1
104,E00000001,-2,-2,-1,-1,-2,0,5,3,-1,2,-1,-1,1
188,E00000003,5,-2,3,1,-2,1,6,3,-1,2,1,2,1
5328,E00166758,5,-2,6,3,-2,2,4,1,-1,2,3,4,1
39,E00000001,5,-2,2,2,-2,4,5,3,-1,2,4,2,1
4524,E00166755,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1
5402,E00166759,5,-2,2,4,-2,2,3,2,-1,2,2,2,3
1777,E00000020,5,-2,6,3,-2,2,2,1,-1,2,2,2,1
812,E00000013,5,-2,2,1,-2,1,2,1,-1,2,3,2,1
4088,E00000032,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1
3095,E00000027,5,-2,3,1,-2,1,1,1,-1,2,1,2,1
776,E00000012,5,-2,5,2,-2,4,4,2,-1,2,4,2,2
