HID,Area,LC4402_C_TYPACCOM,QS420_CELL,LC4402_C_TENHUK11,LC4408_C_AHTHUK11,CommunalSize,LC4404_C_SIZHUK11,LC4404_C_ROOMS,LC4405EW_C_BEDROOMS,LC4408EW_C_PPBROOMHEW11,LC4402_C_CENHEATHUK11,LC4605_C_NSSEC,LC4202_C_ETHHUK11,LC4202_C_CARSNO,HRPID,FILLED
5160,E00166758,5,-2,2,1,-2,1,3,1,-1,2,1,6,1,5892,True
4576,E00166756,5,-2,2,1,-2,1,3,1,-1,2,2,2,2,5969,True
5021,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
4360,E00166755,5,-2,6,1,-2,1,2,1,-1,2,2,2,3,5637,True
2394,E00000024,-2,30,-2,-1,0,-1,-1,-1,-1,2,-1,-1,1,-1,True
83,E00000001,5,-2,5,4,-2,2,6,3,-1,2,1,6,2,4270,True
3908,E00000031,5,-2,5,2,-2,4,3,1,-1,2,1,4,2,2889,False
2411,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
2084,E00000022,5,-2,3,2,-2,3,4,2,-1,2,6,6,2,4279,True
2806,E00000025,-2,-2,-1,-1,-2,0,4,3,-1,2,-1,-1,1,-1,False
1603,E00000019,5,-2,2,2,-2,2,6,4,-1,2,1,2,2,460,True
3273,E00000027,4,-2,6,3,-2,2,5,2,-1,2,5,2,1,2890,True
1427,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1,-1,False
5186,E00166758,5,-2,2,1,-2,1,4,1,-1,2,2,2,1,2705,True
4368,E00166755,5,-2,6,1,-2,1,2,1,-1,2,1,5,1,2902,True
1793,E00000020,5,-2,6,1,-2,1,4,2,-1,2,1,4,1,2077,True
2039,E00000021,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
5520,E00166759,5,-2,6,2,-2,2,4,2,-1,2,9,2,1,3155,True
453,E00000005,5,-2,6,2,-2,3,5,1,-1,2,6,2,1,1462,True
2314,E00000024,5,-2,6,2,-2,2,2,1,-1,2,2,6,1,1909,True
4461,E00166755,5,-2,6,5,-2,2,6,4,-1,2,1,2,1,570,False
1665,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
5087,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
2280,E00000024,5,-2,3,1,-2,1,4,2,-1,2,1,4,2,1482,True
2323,E00000024,5,-2,6,1,-2,1,3,1,-1,2,4,6,2,4845,True
1707,E00000020,5,-2,2,2,-2,2,3,2,-1,2,2,2,2,5028,True
3387,E00000027,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
4434,E00166755,5,-2,6,3,-2,2,4,2,-1,2,1,2,1,1443,True
2887,E00000026,5,-2,3,1,-2,1,6,1,-1,2,1,2,1,3017,True
2398,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
299,E00000005,5,-2,2,2,-2,2,4,1,-1,2,2,2,1,2590,True
4531,E00166755,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
2288,E00000024,5,-2,5,1,-2,1,4,2,-1,2,6,2,1,5970,True
560,E00000007,3,-2,6,3,-2,2,5,2,-1,2,5,4,1,3852,True
1203,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,3,1,2834,True
2363,E00000024,5,-2,6,2,-2,2,4,2,-1,2,4,2,2,2271,True
1918,E00000021,5,-2,3,2,-2,2,4,1,-1,2,4,2,2,1787,True
3058,E00000027,5,-2,2,1,-2,1,1,1,-1,2,1,2,2,5797,True
3403,E00000028,5,-2,3,1,-2,1,2,1,-1,2,1,2,2,4198,True
3680,E00000029,5,-2,6,5,-2,4,5,4,-1,2,2,2,1,571,False
5501,E00166759,5,-2,6,1,-2,1,3,1,-1,2,1,4,1,432,True
1508,E00000018,4,-2,3,3,-2,2,3,1,-1,2,4,2,1,2445,True
3592,E00000029,5,-2,5,1,-2,1,3,1,-1,2,1,2,1,5785,True
5365,E00166758,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
2316,E00000024,4,-2,6,3,-2,2,2,1,-1,2,1,4,1,2078,True
769,E00000012,5,-2,5,1,-2,1,4,1,-1,2,3,2,1,3252,True
351,E00000005,5,-2,3,1,-2,1,4,1,-1,2,1,2,1,3764,True
5265,E00166758,5,-2,3,5,-2,3,3,2,-1,2,1,2,2,5803,False
2454,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
725,E00000012,5,-2,5,1,-2,1,3,1,-1,2,3,2,1,2139,True
2856,E00000026,5,-2,3,2,-2,2,2,1,-1,2,2,2,1,2675,True
4566,E00166756,5,-2,2,1,-2,1,1,1,-1,2,4,2,2,5078,True
4714,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
2188,E00000023,5,-2,5,2,-2,2,2,1,-1,2,4,2,1,1370,True
1739,E00000020,5,-2,3,2,-2,2,3,1,-1,2,1,5,2,2499,True
1447,E00000018,5,-2,2,1,-2,1,3,1,-1,2,1,2,1,5312,True
2655,E00000025,5,-2,6,1,-2,1,4,3,-1,2,1,2,1,3825,True
3158,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,5,1,5927,True
2940,E00000026,5,-2,6,1,-2,1,3,2,-1,2,1,4,1,2947,True
4654,E00166756,5,-2,6,3,-2,2,1,1,-1,2,3,2,2,1632,True
4805,E00166757,5,-2,3,1,-2,1,3,2,-1,2,2,2,1,5800,True
2562,E00000025,5,-2,6,1,-2,1,1,1,-1,2,9,2,1,5011,True
4730,E00166756,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
1483,E00000018,5,-2,2,1,-2,1,6,1,-1,2,2,2,2,5807,True
4150,E00000035,5,-2,6,1,-2,1,2,1,-1,2,3,2,1,3954,True
4854,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,4,1,1164,True
4376,E00166755,5,-2,6,2,-2,2,2,1,-1,2,2,6,2,4865,True
629,E00000010,5,-2,5,1,-2,1,3,1,-1,2,2,2,1,4422,True
4264,E00000035,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
4875,E00166757,5,-2,6,3,-2,2,2,1,-1,2,5,4,1,1371,True
1100,E00000016,5,-2,2,4,-2,2,3,2,-1,2,1,2,2,3796,True
410,E00000005,5,-2,6,1,-2,1,3,1,-1,2,1,4,1,4927,True
4582,E00166756,5,-2,2,2,-2,2,3,2,-1,2,2,2,1,461,True
5526,E00166759,5,-2,6,5,-2,2,4,2,-1,2,1,4,1,6025,False
1588,E00000019,5,-2,2,1,-2,1,3,2,-1,2,4,4,2,4887,True
5017,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1,-1,False
3286,E00000027,-2,28,-2,-1,12,-1,-1,-1,-1,2,8,-1,1,-1,False
5485,E00166759,5,-2,6,1,-2,1,1,1,-1,2,2,6,1,5607,True
3276,E00000027,5,-2,6,5,-2,3,5,4,-1,2,1,4,1,572,False
3426,E00000028,5,-2,6,1,-2,1,1,1,-1,2,9,6,1,1068,True
3179,E00000027,5,-2,6,1,-2,1,2,1,-1,2,1,2,2,2334,True
2500,E00000025,5,-2,2,1,-2,1,2,1,-1,2,2,4,2,4185,True
5399,E00166759,5,-2,2,1,-2,1,3,2,-1,2,2,2,2,3042,True
1880,E00000021,5,-2,2,2,-2,4,4,2,-1,2,2,2,2,5650,False
4101,E00000035,5,-2,2,1,-2,1,4,2,-1,2,1,2,1,3281,True
1585,E00000019,5,-2,2,1,-2,1,3,1,-1,2,1,4,2,5314,True
4432,E00166755,5,-2,6,2,-2,2,4,2,-1,2,3,4,1,3156,True
633,E00000010,5,-2,5,1,-2,1,3,1,-1,2,5,2,1,4122,True
2963,E00000026,5,-2,6,1,-2,1,4,1,-1,2,3,4,1,2140,True
4491,E00166755,-2,-2,-1,-1,-2,0,5,4,-1,2,-1,-1,1,-1,False
2312,E00000024,5,-2,6,2,-2,2,2,1,-1,2,2,2,2,1788,True
1051,E00000014,5,-2,6,1,-2,1,3,1,-1,2,1,2,2,1707,True
4076,E00000032,5,-2,5,1,-2,1,6,1,-1,2,3,2,1,3201,True
4815,E00166757,5,-2,3,1,-2,1,4,3,-1,2,2,2,1,5948,True
1790,E00000020,5,-2,6,1,-2,1,4,2,-1,2,1,2,1,1708,True
1858,E00000021,5,-2,2,5,-2,4,3,2,-1,2,1,2,2,573,False
4857,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,4,1,4527,True
4687,E00166756,5,-2,6,5,-2,2,3,1,-1,2,2,5,1,4409,False
2766,E00000025,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
2003,E00000021,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
3575,E00000029,5,-2,5,1,-2,1,1,1,-1,2,5,2,1,5188,True
3331,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
5521,E00166759,5,-2,6,2,-2,2,4,2,-1,2,2,6,1,5601,True
1996,E00000021,5,-2,6,2,-2,2,4,2,-1,1,2,5,1,5961,True
3861,E00000030,5,-2,6,5,-2,3,5,3,-1,2,4,4,1,574,False
5105,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
2209,E00000023,5,-2,5,4,-2,2,4,2,-1,2,6,4,1,630,True
500,E00000007,5,-2,3,1,-2,1,3,2,-1,2,2,6,1,1071,True
5120,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,1,-1,-1,1,-1,False
2226,E00000023,5,-2,5,4,-2,3,5,3,-1,2,8,2,2,5001,True
1453,E00000018,5,-2,2,1,-2,1,3,1,-1,2,1,2,2,4059,True
1304,E00000017,5,-2,2,2,-2,2,6,4,-1,2,1,2,1,1552,True
350,E00000005,5,-2,3,2,-2,3,3,2,-1,2,2,2,1,5167,True
1932,E00000021,5,-2,5,1,-2,1,2,1,-1,2,2,2,1,2841,True
694,E00000012,5,-2,3,2,-2,2,3,1,-1,1,2,4,1,4311,True
3315,E00000027,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1,-1,False
5149,E00166758,5,-2,2,1,-2,1,3,1,-1,2,1,2,2,5786,True
4085,E00000032,5,-2,6,2,-2,4,5,3,-1,2,8,6,1,952,False
3563,E00000029,5,-2,2,1,-2,1,4,1,-1,1,3,2,1,2486,True
3523,E00000028,-2,-2,-1,-1,-2,0,1,1,-1,1,-1,-1,1,-1,False
1676,E00000019,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
3366,E00000027,-2,-2,-1,-1,-2,0,6,1,-1,2,-1,-1,1,-1,False
3026,E00000026,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
2431,E00000024,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
4356,E00166755,5,-2,6,1,-2,1,2,1,-1,1,2,6,1,5971,True
1228,E00000016,5,-2,6,1,-2,1,3,2,-1,2,1,2,1,5401,True
3345,E00000027,-2,-2,-1,-1,-2,0,6,1,-1,2,-1,-1,1,-1,False
171,E00000003,5,-2,2,2,-2,3,6,3,-1,2,1,2,2,2050,True
2499,E00000025,5,-2,2,1,-2,1,2,1,-1,2,9,3,3,3240,True
4721,E00166756,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
1848,E00000021,5,-2,2,1,-2,1,3,2,-1,2,2,2,2,2141,True
3185,E00000027,5,-2,6,1,-2,1,2,1,-1,2,1,4,1,4635,True
2622,E00000025,3,-2,6,1,-2,1,4,1,-1,2,1,5,1,2919,True
3879,E00000031,5,-2,3,1,-2,1,4,2,-1,2,1,4,1,2198,True
260,E00000005,5,-2,2,1,-2,1,3,1,-1,2,3,2,1,4337,True
5319,E00166758,5,-2,6,1,-2,1,4,1,-1,2,2,4,1,4372,True
4553,E00166756,5,-2,2,1,-2,1,1,1,-1,2,2,2,1,3111,True
155,E00000003,5,-2,2,2,-2,2,6,3,-1,2,2,2,2,4877,True
786,E00000012,5,-2,6,1,-2,1,3,1,-1,2,2,2,1,2142,True
4634,E00166756,5,-2,6,1,-2,1,1,1,-1,2,1,4,1,3265,True
1657,E00000019,5,-2,6,3,-2,2,4,2,-1,2,1,2,1,5262,True
4864,E00166757,5,-2,6,1,-2,1,2,1,-1,2,1,6,1,5972,True
4044,E00000032,5,-2,5,2,-2,4,4,3,-1,2,6,6,2,1852,False
1559,E00000018,5,-2,6,1,-2,1,6,4,-1,2,1,4,1,2335,True
1318,E00000017,5,-2,3,3,-2,2,1,1,-1,2,1,2,2,1256,True
4096,E00000035,5,-2,2,1,-2,1,3,1,-1,2,1,6,1,1240,True
1248,E00000016,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
3740,E00000030,5,-2,2,1,-2,1,2,1,-1,2,6,2,1,5638,True
5390,E00166759,5,-2,2,1,-2,1,2,1,-1,2,1,4,2,1699,True
3962,E00000032,5,-2,5,1,-2,1,2,1,-1,2,5,2,1,5012,True
3996,E00000032,5,-2,5,1,-2,1,3,2,-1,2,5,7,1,4338,True
2266,E00000024,5,-2,3,1,-2,1,2,1,-1,2,2,2,1,4636,True
89,E00000001,5,-2,6,3,-2,2,5,3,-1,2,4,2,3,3027,True
4626,E00166756,5,-2,6,1,-2,1,1,1,-1,2,2,2,1,5450,True
1443,E00000018,4,-2,2,1,-2,1,3,1,-1,2,4,2,1,4528,True
2542,E00000025,5,-2,3,1,-2,1,4,2,-1,2,4,2,1,3043,True
737,E00000012,5,-2,5,1,-2,1,3,1,-1,2,4,2,2,3071,True
228,E00000003,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
5234,E00166758,5,-2,3,1,-2,1,2,1,-1,2,4,4,1,5875,True
1691,E00000020,5,-2,2,1,-2,1,3,1,-1,2,2,2,1,5973,True
3334,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
5155,E00166758,5,-2,2,1,-2,1,3,1,-1,2,4,2,3,3962,True
3924,E00000031,5,-2,5,3,-2,3,4,2,-1,2,8,2,1,2397,True
5037,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
4866,E00166757,5,-2,6,1,-2,1,2,1,-1,2,4,6,1,5949,True
5042,E00166757,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
179,E00000003,5,-2,3,2,-2,4,3,2,-1,2,2,2,2,2446,False
4844,E00166757,5,-2,6,1,-2,1,2,1,-1,2,2,2,2,4582,True
2925,E00000026,5,-2,6,5,-2,2,2,1,-1,1,2,6,1,5630,False
5451,E00166759,5,-2,5,1,-2,1,3,1,-1,2,1,2,1,5822,True
2803,E00000025,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
1544,E00000018,5,-2,6,3,-2,2,3,1,-1,2,1,2,1,1789,True
4939,E00166757,5,-2,6,5,-2,2,3,1,-1,2,6,4,1,575,False
3850,E00000030,5,-2,6,1,-2,1,4,2,-1,2,2,4,1,5928,True
3148,E00000027,5,-2,6,1,-2,1,1,1,-1,2,1,2,1,3798,True
2516,E00000025,5,-2,2,2,-2,2,4,2,-1,1,9,2,1,1354,True
1165,E00000016,5,-2,3,1,-2,1,4,1,-1,2,2,2,2,4247,True
2853,E00000026,5,-2,3,1,-2,1,2,1,-1,2,1,2,2,1423,True
639,E00000010,5,-2,5,1,-2,1,3,1,-1,2,2,4,1,2662,True
2305,E00000024,5,-2,6,1,-2,1,2,1,-1,2,2,4,1,550,True
1320,E00000017,5,-2,3,1,-2,1,2,1,-1,2,2,2,2,853,True
403,E00000005,5,-2,6,1,-2,1,3,1,-1,2,2,2,1,5061,True
4674,E00166756,5,-2,6,5,-2,2,2,1,-1,2,2,6,1,576,False
1396,E00000017,5,-2,6,5,-2,2,6,2,-1,2,1,4,1,2327,False
874,E00000013,5,-2,6,1,-2,1,2,1,-1,2,1,2,1,2842,True
3093,E00000027,5,-2,3,1,-2,1,1,1,-1,2,1,2,1,5876,True
2632,E00000025,5,-2,6,1,-2,1,4,2,-1,1,5,2,3,2706,True
4986,E00166757,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
1221,E00000016,5,-2,6,3,-2,2,2,1,-1,2,2,2,2,2798,True
1719,E00000020,5,-2,2,2,-2,2,4,1,-1,2,1,2,1,2272,True
3370,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
3194,E00000027,5,-2,6,1,-2,1,2,1,-1,2,9,4,1,5240,True
939,E00000014,5,-2,2,2,-2,2,2,1,-1,2,2,2,1,2273,True
2578,E00000025,5,-2,6,1,-2,1,2,1,-1,2,1,2,2,5608,True
701,E00000012,5,-2,5,1,-2,1,1,1,-1,2,4,2,1,1241,True
451,E00000005,5,-2,6,5,-2,2,5,1,-1,2,2,2,1,6026,False
5090,E00166757,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
1563,E00000018,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1,-1,False
3719,E00000029,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
1737,E00000020,5,-2,3,1,-2,1,3,2,-1,2,1,2,2,5939,True
3465,E00000028,5,-2,6,1,-2,1,3,1,-1,2,1,2,1,4846,True
2197,E00000023,5,-2,5,1,-2,1,4,1,-1,2,3,2,1,430,True
1177,E00000016,5,-2,3,3,-2,2,4,2,-1,2,2,2,1,1031,True
1194,E00000016,5,-2,6,1,-2,1,2,1,-1,2,2,2,1,5974,True
2604,E00000025,5,-2,6,1,-2,1,3,2,-1,2,1,6,3,5451,True
3859,E00000030,5,-2,6,5,-2,3,5,3,-1,2,1,2,2,577,False
5287,E00166758,5,-2,6,2,-2,2,2,1,-1,2,2,2,1,1790,True
2366,E00000024,5,-2,6,2,-2,2,4,3,-1,2,1,2,1,5299,True
1570,E00000018,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
1416,E00000017,-2,-2,-1,-1,-2,0,5,4,-1,2,-1,-1,1,-1,False
3947,E00000031,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
4332,E00166755,5,-2,2,1,-2,1,4,2,-1,2,1,4,2,5039,True
2823,E00000026,5,-2,2,1,-2,1,2,1,-1,2,1,2,2,5553,True
4729,E00166756,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
4425,E00166755,5,-2,6,1,-2,1,4,3,-1,2,1,6,1,2143,True
3064,E00000027,4,-2,2,1,-2,1,2,1,-1,2,1,6,1,6020,True
3489,E00000028,5,-2,6,1,-2,1,4,1,-1,2,9,2,1,5062,True
2170,E00000023,5,-2,3,2,-2,2,3,2,-1,2,2,2,2,1444,True
596,E00000010,5,-2,3,1,-2,1,3,1,-1,2,2,2,2,493,True
3518,E00000028,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
3933,E00000031,5,-2,6,3,-2,2,2,1,-1,2,9,8,1,1991,True
871,E00000013,5,-2,6,1,-2,1,2,1,-1,1,2,4,1,5189,True
3263,E00000027,5,-2,6,3,-2,2,4,1,-1,2,1,2,1,1605,True
5431,E00166759,5,-2,3,1,-2,1,3,1,-1,2,1,4,3,2617,True
2951,E00000026,5,-2,6,3,-2,2,3,2,-1,2,1,2,1,656,True
4438,E00166755,5,-2,6,3,-2,2,4,2,-1,2,2,6,1,2096,True
5397,E00166759,5,-2,2,1,-2,1,3,1,-1,2,3,2,1,3282,True
3307,E00000027,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
901,E00000013,-2,-2,-1,-1,-2,0,1,1,-1,2,-1,-1,1,-1,False
1550,E00000018,5,-2,6,1,-2,1,4,1,-1,2,1,2,1,1835,True
1537,E00000018,5,-2,6,1,-2,1,3,1,-1,2,1,2,1,4423,True
3332,E00000027,-2,-2,-1,-1,-2,0,4,2,-1,2,-1,-1,1,-1,False
4532,E00166755,-2,-2,-1,-1,-2,0,6,3,-1,2,-1,-1,1,-1,False
4265,E00000035,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1,-1,False
144,E00000003,5,-2,2,1,-2,1,6,3,-1,2,2,2,2,604,True
2737,E00000025,-2,-2,-1,-1,-2,0,3,2,-1,2,-1,-1,1,-1,False
1842,E00000021,5,-2,2,1,-2,1,3,1,-1,2,2,2,2,4980,True
5030,E00166757,-2,-2,-1,-1,-2,0,4,1,-1,2,-1,-1,1,-1,False
913,E00000013,-2,-2,-1,-1,-2,0,3,1,-1,2,-1,-1,1,-1,False
3741,E00000030,5,-2,2,2,-2,2,4,2,-1,2,2,2,1,4610,True
1403,E00000017,5,-2,6,3,-2,4,6,4,-1,2,2,2,1,2177,False
2054,E00000022,5,-2,2,1,-2,1,4,2,-1,2,1,4,2,2031,True
3488,E00000028,5,-2,6,1,-2,1,4,1,-1,1,2,4,1,3765,True
2375,E00000024,5,-2,6,3,-2,4,5,4,-1,2,2,2,1,2274,False
3661,E00000029,5,-2,6,5,-2,2,3,2,-1,2,2,2,2,1017,False
2405,E00000024,-2,-2,-1,-1,-2,0,2,1,-1,2,-1,-1,1,-1,False
2929,E00000026,5,-2,6,1,-2,1,3,1,-1,2,2,2,1,5590,True
1393,E00000017,5,-2,6,1,-2,1,6,4,-1,2,2,2,1,2920,True
3102,E00000027,5,-2,3,1,-2,1,2,1,-1,1,1,4,2,2918,True
896,E00000013,5,-2,6,1,-2,1,4,1,-1,2,2,2,1,1836,True
1449,E00000018,5,-2,2,1,-2,1,3,1,-1,2,2,2,1,3736,True
5273,E00166758,5,-2,5,1,-2,1,2,1,-1,2,5,2,1,5950,True
3720,E00000029,-2,-2,-1,-1,-2,0,5,1,-1,2,-1,-1,1,-1,False
3285,E00000027,-2,27,-2,-1,8,-1,-1,-1,-1,2,-1,-1,1,-1,False
5157,E00166758,5,-2,2,1,-2,1,3,1,-1,2,2,4,1,5765,True
4345,E00166755,5,-2,3,2,-2,2,4,3,-1,2,1,2,2,2500,True
3902,E00000031,5,-2,5,1,-2,1,3,2,-1,2,7,7,2,4186,True
3450,E00000028,5,-2,6,3,-2,2,2,1,-1,2,3,2,1,1191,True
1386,E00000017,5,-2,6,1,-2,1,4,1,-1,2,1,2,1,4529,True
2526,E00000025,5,-2,3,1,-2,1,2,1,-1,1,2,4,1,2618,True
3831,E00000030,5,-2,5,2,-2,4,5,3,-1,2,6,2,2,1121,False
2559,E00000025,5,-2,6,1,-2,1,1,1,-1,1,2,2,1,1613,True
643,E00000010,5,-2,5,1,-2,1,3,1,-1,2,8,8,1,4168,True
2132,E00000022,5,-2,5,2,-2,4,4,3,-1,1,2,2,2,2615,False
1419,E00000017,-2,-2,-1,-1,-2,0,6,4,-1,2,-1,-1,1,-1,False
1745,E00000020,5,-2,3,2,-2,3,3,2,-1,2,2,2,1,5128,True
5381,E00166759,5,-2,2,3,-2,2,1,1,-1,2,8,5,1,5651,True
5473,E00166759,5,-2,6,1,-2,1,1,1,-1,2,2,2,1,1064,True
3660,E00000029,5,-2,6,4,-2,2,3,2,-1,2,1,4,1,3751,True
5368,E00166759,5,-2,2,1,-2,1,1,1,-1,2,1,2,1,5893,True
2194,E00000023,5,-2,5,4,-2,2,3,2,-1,2,7,2,2,4908,True
411,E00000005,5,-2,6,1,-2,1,3,1,-1,2,1,4,1,1356,True
3527,E00000028,-2,-2,-1,-1,-2,0,5,2,-1,1,-1,-1,1,-1,False
