PID,Area,DC1117EW_C_SEX,DC1117EW_C_AGE,DC2101EW_C_ETHPUK11
87,S02002436,1,5,1
88,S02002436,1,5,1
89,S02002436,1,5,1
90,S02002436,1,5,1
91,S02002436,1,5,1
92,S02002436,1,5,1
93,S02002436,1,5,1
94,S02002436,1,5,1
95,S02002436,1,5,1
96,S02002436,1,5,1
97,S02002436,1,5,1
98,S02002436,1,5,1
99,S02002436,1,5,1
100,S02002436,1,5,1
101,S02002436,1,5,1
102,S02002436,1,5,1
103,S02002436,1,5,1
104,S02002436,1,5,1
105,S02002436,1,5,1
106,S02002436,1,5,1
107,S02002436,1,5,1
108,S02002436,1,5,9
109,S02002436,1,6,1
110,S02002436,1,6,1
111,S02002436,1,6,1
112,S02002436,1,6,1
113,S02002436,1,6,1
114,S02002436,1,6,1
115,S02002436,1,6,1
116,S02002436,1,6,1
117,S02002436,1,6,1
118,S02002436,1,6,1
119,S02002436,1,6,1
120,S02002436,1,6,1
121,S02002436,1,6,1
122,S02002436,1,6,1
123,S02002436,1,6,1
124,S02002436,1,6,1
125,S02002436,1,6,1
126,S02002436,1,6,1
127,S02002436,1,6,1
128,S02002436,1,6,1
129,S02002436,1,6,1
130,S02002436,1,6,1
131,S02002436,1,6,1
132,S02002436,1,6,1
133,S02002436,1,6,1
134,S02002436,1,6,1
135,S02002436,1,6,1
136,S02002436,1,6,1
137,S02002436,1,7,1
138,S02002436,1,7,1
139,S02002436,1,7,1
140,S02002436,1,7,1
141,S02002436,1,7,1
142,S02002436,1,7,1
143,S02002436,1,7,1
144,S02002436,1,7,1
145,S02002436,1,7,1
146,S02002436,1,7,1
147,S02002436,1,7,1
148,S02002436,1,7,1
149,S02002436,1,7,1
150,S02002436,1,7,1
151,S02002436,1,7,1
152,S02002436,1,7,1
153,S02002436,1,7,1
154,S02002436,1,7,1
155,S02002436,1,7,1
156,S02002436,1,7,1
157,S02002436,1,7,1
158,S02002436,1,7,1
159,S02002436,1,7,1
160,S02002436,1,7,1
161,S02002436,1,7,1
162,S02002436,1,7,9
163,S02002436,1,8,1
164,S02002436,1,8,1
165,S02002436,1,8,1
166,S02002436,1,8,1
167,S02002436,1,8,1
168,S02002436,1,8,1
169,S02002436,1,8,1
170,S02002436,1,8,1
171,S02002436,1,8,1
172,S02002436,1,8,1
173,S02002436,1,8,1
174,S02002436,1,8,1
175,S02002436,1,8,1
176,S02002436,1,8,1
177,S02002436,1,8,1
178,S02002436,1,8,1
179,S02002436,1,8,1
180,S02002436,1,8,1
181,S02002436,1,8,1
182,S02002436,1,8,1
183,S02002436,1,8,1
184,S02002436,1,8,1
185,S02002436,1,8,1
186,S02002436,1,8,1
187,S02002436,1,8,1
188,S02002436,1,8,1
189,S02002436,1,8,1
190,S02002436,1,8,1
191,S02002436,1,9,1
192,S02002436,1,9,1
193,S02002436,1,9,1
194,S02002436,1,9,1
195,S02002436,1,9,1
196,S02002436,1,9,1
197,S02002436,1,9,1
198,S02002436,1,9,1
199,S02002436,1,9,1
200,S02002436,1,9,1
201,S02002436,1,9,1
202,S02002436,1,9,1
203,S02002436,1,9,1
204,S02002436,1,9,1
205,S02002436,1,9,1
206,S02002436,1,9,1
207,S02002436,1,9,1
208,S02002436,1,9,1
209,S02002436,1,9,1
210,S02002436,1,9,1
211,S02002436,1,9,1
212,S02002436,1,9,1
213,S02002436,1,9,1
214,S02002436,1,9,1
215,S02002436,1,9,1
216,S02002436,1,9,1
217,S02002436,1,9,1
218,S02002436,1,9,1
219,S02002436,1,9,1
220,S02002436,1,9,1
221,S02002436,1,9,1
222,S02002436,1,9,1
223,S02002436,1,10,1
224,S02002436,1,10,1
225,S02002436,1,10,1
226,S02002436,1,10,1
227,S02002436,1,10,1
228,S02002436,1,10,1
229,S02002436,1,10,1
230,S02002436,1,10,1
231,S02002436,1,10,1
232,S02002436,1,10,1
233,S02002436,1,10,1
234,S02002436,1,10,1
235,S02002436,1,10,1
236,S02002436,1,10,1
237,S02002436,1,10,1
238,S02002436,1,10,1
239,S02002436,1,10,1
240,S02002436,1,10,1
241,S02002436,1,10,1
242,S02002436,1,10,1
243,S02002436,1,10,1
244,S02002436,1,10,1
245,S02002436,1,10,1
246,S02002436,1,10,1
247,S02002436,1,10,1
248,S02002436,1,10,1
249,S02002436,1,10,1
250,S02002436,1,10,1
251,S02002436,1,10,1
252,S02002436,1,10,1
253,S02002436,1,10,1
254,S02002436,1,10,1
255,S02002436,1,10,1
256,S02002436,1,10,1
257,S02002436,1,10,1
258,S02002436,1,10,1
259,S02002436,1,10,1
260,S02002436,1,10,1
261,S02002436,1,10,1
262,S02002436,1,10,1
263,S02002436,1,10,1
264,S02002436,1,10,1
265,S02002436,1,10,1
266,S02002436,1,10,1
267,S02002436,1,10,1
268,S02002436,1,11,1
269,S02002436,1,11,1
270,S02002436,1,11,1
271,S02002436,1,11,1
272,S02002436,1,11,1
273,S02002436,1,11,1
274,S02002436,1,11,1
275,S02002436,1,11,1
276,S02002436,1,11,1
277,S02002436,1,11,1
278,S02002436,1,11,1
279,S02002436,1,11,1
280,S02002436,1,11,1
281,S02002436,1,11,1
282,S02002436,1,11,1
283,S02002436,1,11,1
284,S02002436,1,11,1
285,S02002436,1,11,1
286,S02002436,1,11,1
287,S02002436,1,11,1
288,S02002436,1,11,1
289,S02002436,1,11,1
290,S02002436,1,11,1
291,S02002436,1,11,1
292,S02002436,1,11,1
293,S02002436,1,11,1
294,S02002436,1,11,1
295,S02002436,1,11,1
296,S02002436,1,11,1
297,S02002436,1,11,9
298,S02002436,1,12,1
299,S02002436,1,12,1
300,S02002436,1,12,1
301,S02002436,1,12,1
302,S02002436,1,12,1
303,S02002436,1,12,1
304,S02002436,1,12,1
305,S02002436,1,12,1
306,S02002436,1,12,1
307,S02002436,1,12,1
308,S02002436,1,12,1
309,S02002436,1,12,1
310,S02002436,1,12,1
311,S02002436,1,12,1
312,S02002436,1,12,1
313,S02002436,1,12,1
314,S02002436,1,12,1
315,S02002436,1,12,1
316,S02002436,1,12,1
317,S02002436,1,12,1
318,S02002436,1,12,1
319,S02002436,1,12,1
320,S02002436,1,12,1
321,S02002436,1,12,1
322,S02002436,1,12,1
323,S02002436,1,12,1
324,S02002436,1,12,1
325,S02002436,1,12,1
326,S02002436,1,12,1
327,S02002436,1,12,1
328,S02002436,1,12,1
329,S02002436,1,12,1
330,S02002436,1,12,1
331,S02002436,1,12,1
332,S02002436,1,12,1
333,S02002436,1,12,1
334,S02002436,1,12,1
335,S02002436,1,12,1
336,S02002436,1,12,1
337,S02002436,1,12,1
338,S02002436,1,12,1
339,S02002436,1,13,1
340,S02002436,1,13,1
341,S02002436,1,13,1
342,S02002436,1,13,1
343,S02002436,1,13,1
344,S02002436,1,13,1
345,S02002436,1,13,1
346,S02002436,1,13,1
347,S02002436,1,13,1
348,S02002436,1,13,1
349,S02002436,1,13,1
350,S02002436,1,13,1
351,S02002436,1,13,1
352,S02002436,1,13,1
353,S02002436,1,13,1
354,S02002436,1,13,1
355,S02002436,1,13,1
356,S02002436,1,13,1
357,S02002436,1,13,1
358,S02002436,1,13,1
359,S02002436,1,13,1
360,S02002436,1,13,1
361,S02002436,1,13,1
362,S02002436,1,13,1
363,S02002436,1,13,1
364,S02002436,1,13,1
365,S02002436,1,13,1
366,S02002436,1,13,1
367,S02002436,1,13,1
368,S02002436,1,13,1
369,S02002436,1,13,1
370,S02002436,1,13,1
371,S02002436,1,13,1
372,S02002436,1,13,1
373,S02002436,1,13,1
374,S02002436,1,13,1
375,S02002436,1,13,1
376,S02002436,1,13,1
377,S02002436,1,13,1
378,S02002436,1,13,1
379,S02002436,1,13,1
380,S02002436,1,13,1
381,S02002436,1,13,1
382,S02002436,1,14,1
383,S02002436,1,14,1
384,S02002436,1,14,1
385,S02002436,1,14,1
386,S02002436,1,14,1
387,S02002436,1,14,1
388,S02002436,1,14,1
389,S02002436,1,14,1
390,S02002436,1,14,1
391,S02002436,1,14,1
392,S02002436,1,14,1
393,S02002436,1,14,1
394,S02002436,1,14,1
395,S02002436,1,14,1
396,S02002436,1,14,1
397,S02002436,1,14,1
398,S02002436,1,14,1
399,S02002436,1,14,1
400,S02002436,1,14,1
401,S02002436,1,14,1
402,S02002436,1,14,1
403,S02002436,1,14,1
404,S02002436,1,14,1
405,S02002436,1,14,1
406,S02002436,1,14,1
407,S02002436,1,14,1
408,S02002436,1,14,1
409,S02002436,1,14,1
410,S02002436,1,14,1
411,S02002436,1,14,1
412,S02002436,1,14,1
413,S02002436,1,14,1
414,S02002436,1,14,1
415,S02002436,1,14,1
416,S02002436,1,14,1
417,S02002436,1,14,1
418,S02002436,1,15,1
419,S02002436,1,15,1
420,S02002436,1,15,1
421,S02002436,1,15,1
422,S02002436,1,15,1
423,S02002436,1,15,1
424,S02002436,1,15,1
425,S02002436,1,15,1
426,S02002436,1,15,1
427,S02002436,1,15,1
428,S02002436,1,15,1
429,S02002436,1,15,1
430,S02002436,1,15,1
431,S02002436,1,15,1
432,S02002436,1,15,1
433,S02002436,1,15,1
434,S02002436,1,15,1
435,S02002436,1,15,1
436,S02002436,1,15,1
437,S02002436,1,15,1
438,S02002436,1,15,1
439,S02002436,1,15,1
440,S02002436,1,15,1
441,S02002436,1,15,1
442,S02002436,1,15,1
443,S02002436,1,15,1
444,S02002436,1,15,1
445,S02002436,1,15,1
446,S02002436,1,15,1
447,S02002436,1,15,1
448,S02002436,1,15,1
449,S02002436,1,15,1
450,S02002436,1,15,1
451,S02002436,1,15,1
452,S02002436,1,15,1
453,S02002436,1,15,1
454,S02002436,1,15,1
455,S02002436,1,15,1
456,S02002436,1,15,1
457,S02002436,1,15,1
458,S02002436,1,15,1
459,S02002436,1,15,1
460,S02002436,1,15,1
461,S02002436,1,15,1
462,S02002436,1,15,1
463,S02002436,1,15,1
464,S02002436,1,15,1
465,S02002436,1,15,22
466,S02002436,1,16,1
467,S02002436,1,16,1
468,S02002436,1,16,1
469,S02002436,1,16,1
470,S02002436,1,16,1
471,S02002436,1,16,1
472,S02002436,1,16,1
473,S02002436,1,16,1
474,S02002436,1,16,1
475,S02002436,1,16,1
476,S02002436,1,16,1
477,S02002436,1,16,1
478,S02002436,1,16,1
479,S02002436,1,16,1
480,S02002436,1,16,1
481,S02002436,1,16,1
482,S02002436,1,16,1
483,S02002436,1,16,1
484,S02002436,1,16,1
485,S02002436,1,16,1
486,S02002436,1,16,1
487,S02002436,1,16,1
488,S02002436,1,16,1
489,S02002436,1,16,1
490,S02002436,1,16,1
491,S02002436,1,16,1
492,S02002436,1,16,1
493,S02002436,1,16,1
494,S02002436,1,16,1
495,S02002436,1,16,1
496,S02002436,1,16,1
497,S02002436,1,16,1
498,S02002436,1,16,1
499,S02002436,1,16,1
500,S02002436,1,16,1
501,S02002436,1,16,1
502,S02002436,1,17,1
503,S02002436,1,17,1
504,S02002436,1,17,1
505,S02002436,1,17,1
506,S02002436,1,17,1
507,S02002436,1,17,1
508,S02002436,1,17,1
509,S02002436,1,17,1
510,S02002436,1,17,1
511,S02002436,1,17,1
512,S02002436,1,17,1
513,S02002436,1,17,1
514,S02002436,1,17,1
515,S02002436,1,17,1
516,S02002436,1,17,1
517,S02002436,1,17,1
518,S02002436,1,17,1
519,S02002436,1,17,1
520,S02002436,1,17,1
521,S02002436,1,17,1
522,S02002436,1,17,1
523,S02002436,1,17,1
524,S02002436,1,17,1
525,S02002436,1,17,1
526,S02002436,1,17,1
527,S02002436,1,17,1
528,S02002436,1,17,1
529,S02002436,1,17,1
530,S02002436,1,17,1
531,S02002436,1,17,1
532,S02002436,1,17,1
533,S02002436,1,17,1
534,S02002436,1,17,1
535,S02002436,1,17,1
536,S02002436,1,17,1
537,S02002436,1,17,1
538,S02002436,1,17,1
539,S02002436,1,17,1
540,S02002436,1,17,1
541,S02002436,1,17,1
542,S02002436,1,17,1
543,S02002436,1,17,8
544,S02002436,1,17,9
545,S02002436,1,18,1
546,S02002436,1,18,1
547,S02002436,1,18,1
548,S02002436,1,18,1
549,S02002436,1,18,1
550,S02002436,1,18,1
551,S02002436,1,18,1
552,S02002436,1,18,1
553,S02002436,1,18,1
554,S02002436,1,18,1
555,S02002436,1,18,1
556,S02002436,1,18,1
557,S02002436,1,18,1
558,S02002436,1,18,1
559,S02002436,1,18,1
560,S02002436,1,18,1
561,S02002436,1,18,1
562,S02002436,1,18,1
563,S02002436,1,18,1
564,S02002436,1,18,1
565,S02002436,1,18,1
566,S02002436,1,18,1
567,S02002436,1,18,1
568,S02002436,1,18,1
569,S02002436,1,18,1
570,S02002436,1,18,1
571,S02002436,1,18,1
572,S02002436,1,18,1
573,S02002436,1,18,1
574,S02002436,1,18,1
575,S02002436,1,18,1
576,S02002436,1,18,1
577,S02002436,1,18,1
578,S02002436,1,18,1
579,S02002436,1,18,1
580,S02002436,1,18,1
581,S02002436,1,18,1
582,S02002436,1,18,1
583,S02002436,1,18,1
584,S02002436,1,18,1
585,S02002436,1,19,1
586,S02002436,1,19,1
587,S02002436,1,19,1
588,S02002436,1,19,1
589,S02002436,1,19,1
590,S02002436,1,19,1
591,S02002436,1,19,1
592,S02002436,1,19,1
593,S02002436,1,19,1
594,S02002436,1,19,1
595,S02002436,1,19,1
596,S02002436,1,19,1
597,S02002436,1,19,1
598,S02002436,1,19,1
599,S02002436,1,19,1
600,S02002436,1,19,1
601,S02002436,1,19,1
602,S02002436,1,19,1
603,S02002436,1,19,1
604,S02002436,1,19,1
605,S02002436,1,19,1
606,S02002436,1,19,1
607,S02002436,1,19,1
608,S02002436,1,19,1
609,S02002436,1,19,1
610,S02002436,1,19,1
611,S02002436,1,20,1
612,S02002436,1,20,1
613,S02002436,1,20,1
614,S02002436,1,20,1
615,S02002436,1,20,1
616,S02002436,1,20,1
617,S02002436,1,20,1
618,S02002436,1,20,1
619,S02002436,1,20,1
620,S02002436,1,20,1
621,S02002436,1,20,1
622,S02002436,1,20,1
623,S02002436,1,20,1
624,S02002436,1,20,1
625,S02002436,1,21,1
626,S02002436,1,21,1
627,S02002436,1,21,1
628,S02002436,1,21,1
629,S02002436,1,21,1
630,S02002436,1,21,1
631,S02002436,1,21,1
632,S02002436,1,21,1
633,S02002436,1,21,1
634,S02002436,1,21,1
635,S02002436,1,21,1
636,S02002436,1,21,1
637,S02002436,1,21,1
638,S02002436,1,21,1
639,S02002436,1,21,1
640,S02002436,1,21,1
641,S02002436,1,21,1
642,S02002436,1,21,1
643,S02002436,1,21,1
644,S02002436,1,22,1
645,S02002436,1,22,1
646,S02002436,1,22,1
647,S02002436,1,22,1
648,S02002436,1,22,1
649,S02002436,1,22,1
650,S02002436,1,22,1
651,S02002436,1,22,1
652,S02002436,1,22,1
653,S02002436,1,22,1
654,S02002436,1,22,1
655,S02002436,1,22,1
656,S02002436,1,22,1
657,S02002436,1,22,1
658,S02002436,1,22,1
659,S02002436,1,22,1
660,S02002436,1,22,1
661,S02002436,1,22,1
662,S02002436,1,22,1
663,S02002436,1,22,1
664,S02002436,1,22,1
665,S02002436,1,22,1
666,S02002436,1,22,1
667,S02002436,1,22,1
668,S02002436,1,22,1
669,S02002436,1,23,1
670,S02002436,1,23,1
671,S02002436,1,23,1
672,S02002436,1,23,1
673,S02002436,1,23,1
674,S02002436,1,23,1
675,S02002436,1,23,1
676,S02002436,1,23,1
677,S02002436,1,23,1
678,S02002436,1,23,1
679,S02002436,1,23,1
680,S02002436,1,23,1
681,S02002436,1,23,1
682,S02002436,1,23,1
683,S02002436,1,23,1
684,S02002436,1,23,1
685,S02002436,1,23,1
686,S02002436,1,23,1
687,S02002436,1,23,1
688,S02002436,1,23,1
689,S02002436,1,23,1
690,S02002436,1,23,1
691,S02002436,1,23,1
692,S02002436,1,23,1
693,S02002436,1,23,18
694,S02002436,1,24,1
695,S02002436,1,24,1
696,S02002436,1,24,1
697,S02002436,1,24,1
698,S02002436,1,24,1
699,S02002436,1,24,1
700,S02002436,1,24,1
701,S02002436,1,24,1
702,S02002436,1,24,1
703,S02002436,1,24,1
704,S02002436,1,24,1
705,S02002436,1,24,1
706,S02002436,1,24,1
707,S02002436,1,24,1
708,S02002436,1,24,1
709,S02002436,1,24,1
710,S02002436,1,24,1
711,S02002436,1,24,1
712,S02002436,1,24,1
713,S02002436,1,24,1
714,S02002436,1,24,1
715,S02002436,1,25,1
716,S02002436,1,25,1
717,S02002436,1,25,1
718,S02002436,1,25,1
719,S02002436,1,25,1
720,S02002436,1,25,1
721,S02002436,1,25,1
722,S02002436,1,25,1
723,S02002436,1,25,1
724,S02002436,1,25,1
725,S02002436,1,25,1
726,S02002436,1,25,1
727,S02002436,1,25,1
728,S02002436,1,25,1
729,S02002436,1,25,1
730,S02002436,1,25,1
731,S02002436,1,25,9
732,S02002436,1,26,1
733,S02002436,1,26,1
734,S02002436,1,26,1
735,S02002436,1,26,1
736,S02002436,1,26,1
737,S02002436,1,26,1
738,S02002436,1,26,1
739,S02002436,1,26,1
740,S02002436,1,26,1
741,S02002436,1,26,1
742,S02002436,1,26,1
743,S02002436,1,26,1
744,S02002436,1,26,1
745,S02002436,1,26,1
746,S02002436,1,26,1
747,S02002436,1,26,1
748,S02002436,1,26,1
749,S02002436,1,26,1
750,S02002436,1,26,1
751,S02002436,1,26,1
752,S02002436,1,26,1
753,S02002436,1,27,1
754,S02002436,1,27,1
755,S02002436,1,27,1
756,S02002436,1,27,1
757,S02002436,1,27,1
758,S02002436,1,27,1
759,S02002436,1,27,1
760,S02002436,1,27,1
761,S02002436,1,27,1
762,S02002436,1,27,1
763,S02002436,1,27,1
764,S02002436,1,27,1
765,S02002436,1,28,1
766,S02002436,1,28,1
767,S02002436,1,28,1
768,S02002436,1,28,1
769,S02002436,1,28,1
770,S02002436,1,28,1
771,S02002436,1,28,1
772,S02002436,1,28,1
773,S02002436,1,28,1
774,S02002436,1,28,1
775,S02002436,1,28,1
776,S02002436,1,28,1
777,S02002436,1,29,1
778,S02002436,1,29,1
779,S02002436,1,29,1
780,S02002436,1,29,1
781,S02002436,1,29,1
782,S02002436,1,29,1
783,S02002436,1,29,1
784,S02002436,1,29,1
785,S02002436,1,29,1
786,S02002436,1,29,1
787,S02002436,1,29,1
788,S02002436,1,29,1
789,S02002436,1,29,1
790,S02002436,1,30,1
791,S02002436,1,30,1
792,S02002436,1,30,1
793,S02002436,1,30,1
794,S02002436,1,30,1
795,S02002436,1,30,1
796,S02002436,1,30,1
797,S02002436,1,30,1
798,S02002436,1,30,1
799,S02002436,1,30,1
800,S02002436,1,31,1
801,S02002436,1,31,1
802,S02002436,1,31,1
803,S02002436,1,31,1
804,S02002436,1,31,1
805,S02002436,1,31,1
806,S02002436,1,31,1
807,S02002436,1,31,1
808,S02002436,1,31,1
809,S02002436,1,31,1
810,S02002436,1,31,1
811,S02002436,1,31,1
812,S02002436,1,31,1
813,S02002436,1,32,1
814,S02002436,1,32,1
815,S02002436,1,32,1
816,S02002436,1,32,1
817,S02002436,1,32,1
818,S02002436,1,32,1
819,S02002436,1,32,1
820,S02002436,1,32,1
821,S02002436,1,32,1
822,S02002436,1,32,1
823,S02002436,1,32,1
824,S02002436,1,32,1
825,S02002436,1,33,1
826,S02002436,1,33,1
827,S02002436,1,33,1
828,S02002436,1,33,1
829,S02002436,1,33,1
830,S02002436,1,33,1
831,S02002436,1,33,1
832,S02002436,1,33,1
833,S02002436,1,33,1
834,S02002436,1,33,1
835,S02002436,1,33,1
836,S02002436,1,34,1
837,S02002436,1,34,1
838,S02002436,1,34,1
839,S02002436,1,34,1
840,S02002436,1,34,1
841,S02002436,1,34,1
842,S02002436,1,34,1
843,S02002436,1,34,1
844,S02002436,1,34,1
845,S02002436,1,34,1
846,S02002436,1,34,1
847,S02002436,1,34,1
848,S02002436,1,34,1
849,S02002436,1,35,1
850,S02002436,1,35,1
851,S02002436,1,35,1
852,S02002436,1,35,1
853,S02002436,1,35,1
854,S02002436,1,35,1
855,S02002436,1,35,1
856,S02002436,1,35,1
857,S02002436,1,35,1
858,S02002436,1,35,1
859,S02002436,1,35,1
860,S02002436,1,35,1
861,S02002436,1,35,1
862,S02002436,1,35,1
863,S02002436,1,36,1
864,S02002436,1,36,1
865,S02002436,1,36,1
866,S02002436,1,36,1
867,S02002436,1,36,1
868,S02002436,1,36,1
869,S02002436,1,36,1
870,S02002436,1,36,1
871,S02002436,1,36,1
872,S02002436,1,36,1
873,S02002436,1,36,1
874,S02002436,1,36,1
875,S02002436,1,36,1
876,S02002436,1,36,1
877,S02002436,1,36,1
878,S02002436,1,36,1
879,S02002436,1,36,1
880,S02002436,1,36,1
881,S02002436,1,36,1
882,S02002436,1,36,1
883,S02002436,1,36,1
884,S02002436,1,36,1
885,S02002436,1,36,1
886,S02002436,1,36,1
887,S02002436,1,37,1
888,S02002436,1,37,1
889,S02002436,1,37,1
890,S02002436,1,37,1
891,S02002436,1,37,1
892,S02002436,1,37,1
893,S02002436,1,37,1
894,S02002436,1,37,1
895,S02002436,1,37,1
896,S02002436,1,37,1
897,S02002436,1,37,1
898,S02002436,1,37,1
899,S02002436,1,37,1
900,S02002436,1,37,1
901,S02002436,1,37,1
902,S02002436,1,37,1
903,S02002436,1,37,1
904,S02002436,1,37,1
905,S02002436,1,37,1
906,S02002436,1,37,1
907,S02002436,1,37,1
908,S02002436,1,37,8
909,S02002436,1,38,1
910,S02002436,1,38,1
911,S02002436,1,38,1
912,S02002436,1,38,1
913,S02002436,1,38,1
914,S02002436,1,38,1
915,S02002436,1,38,1
916,S02002436,1,38,1
917,S02002436,1,38,1
918,S02002436,1,38,1
919,S02002436,1,38,1
920,S02002436,1,38,1
921,S02002436,1,38,1
922,S02002436,1,38,1
923,S02002436,1,38,1
924,S02002436,1,38,1
925,S02002436,1,38,1
926,S02002436,1,38,1
927,S02002436,1,38,1
928,S02002436,1,38,1
929,S02002436,1,39,1
930,S02002436,1,39,1
931,S02002436,1,39,1
932,S02002436,1,39,1
933,S02002436,1,39,1
934,S02002436,1,39,1
935,S02002436,1,39,1
936,S02002436,1,39,1
937,S02002436,1,39,1
938,S02002436,1,39,1
939,S02002436,1,39,1
940,S02002436,1,39,1
941,S02002436,1,39,1
942,S02002436,1,39,1
943,S02002436,1,39,1
944,S02002436,1,39,1
945,S02002436,1,39,1
946,S02002436,1,39,1
947,S02002436,1,39,1
948,S02002436,1,40,1
949,S02002436,1,40,1
950,S02002436,1,40,1
951,S02002436,1,40,1
952,S02002436,1,40,1
953,S02002436,1,40,1
954,S02002436,1,40,1
955,S02002436,1,40,1
956,S02002436,1,40,1
957,S02002436,1,40,1
958,S02002436,1,40,1
959,S02002436,1,40,1
960,S02002436,1,40,1
961,S02002436,1,40,1
962,S02002436,1,40,1
963,S02002436,1,40,1
964,S02002436,1,40,1
965,S02002436,1,40,1
966,S02002436,1,40,1
967,S02002436,1,40,1
968,S02002436,1,40,1
969,S02002436,1,40,1
970,S02002436,1,40,1
971,S02002436,1,40,1
972,S02002436,1,40,1
973,S02002436,1,40,1
974,S02002436,1,41,1
975,S02002436,1,41,1
976,S02002436,1,41,1
977,S02002436,1,41,1
978,S02002436,1,41,1
979,S02002436,1,41,1
980,S02002436,1,41,1
981,S02002436,1,41,1
982,S02002436,1,41,1
983,S02002436,1,41,1
984,S02002436,1,41,1
985,S02002436,1,41,1
986,S02002436,1,41,1
987,S02002436,1,41,1
988,S02002436,1,41,1
989,S02002436,1,41,1
990,S02002436,1,41,1
991,S02002436,1,41,1
992,S02002436,1,41,1
993,S02002436,1,41,1
994,S02002436,1,41,1
995,S02002436,1,41,1
996,S02002436,1,41,1
997,S02002436,1,41,1
998,S02002436,1,41,1
999,S02002436,1,41,1
1000,S02002436,1,42,1
1001,S02002436,1,42,1
1002,S02002436,1,42,1
1003,S02002436,1,42,1
1004,S02002436,1,42,1
1005,S02002436,1,42,1
1006,S02002436,1,42,1
1007,S02002436,1,42,1
1008,S02002436,1,42,1
1009,S02002436,1,42,1
1010,S02002436,1,42,1
1011,S02002436,1,42,1
1012,S02002436,1,42,1
1013,S02002436,1,42,1
1014,S02002436,1,42,1
1015,S02002436,1,42,1
1016,S02002436,1,42,1
1017,S02002436,1,42,1
1018,S02002436,1,42,1
1019,S02002436,1,42,1
1020,S02002436,1,42,1
1021,S02002436,1,42,1
1022,S02002436,1,42,1
1023,S02002436,1,42,1
1024,S02002436,1,42,1
1025,S02002436,1,42,1
1026,S02002436,1,42,1
1027,S02002436,1,42,1
1028,S02002436,1,42,1
1029,S02002436,1,42,1
1030,S02002436,1,42,1
1031,S02002436,1,42,1
1032,S02002436,1,42,1
1033,S02002436,1,43,1
1034,S02002436,1,43,1
1035,S02002436,1,43,1
1036,S02002436,1,43,1
1037,S02002436,1,43,1
1038,S02002436,1,43,1
1039,S02002436,1,43,1
1040,S02002436,1,43,1
1041,S02002436,1,43,1
1042,S02002436,1,43,1
1043,S02002436,1,43,1
1044,S02002436,1,43,1
1045,S02002436,1,43,1
1046,S02002436,1,43,1
1047,S02002436,1,43,1
1048,S02002436,1,43,1
1049,S02002436,1,43,1
1050,S02002436,1,43,1
1051,S02002436,1,43,1
1052,S02002436,1,43,1
1053,S02002436,1,43,1
1054,S02002436,1,43,1
1055,S02002436,1,43,1
1056,S02002436,1,43,1
1057,S02002436,1,43,1
1058,S02002436,1,43,1
1059,S02002436,1,43,1
1060,S02002436,1,43,1
1061,S02002436,1,43,1
1062,S02002436,1,43,1
1063,S02002436,1,43,1
